source,summary,model,HHEMv1,HHEM-2.1,HHEM-2.1-English,trueteacher,true_nli,gpt-3.5-turbo,gpt-4-turbo,gpt-4o,HHEM-2.1-Open,minicheck-roberta-large,minicheck-deberta-v3-large,minicheck-flan-t5-large,gpt-4
"Josh Gillies beat Cameron Belford in the visitors' goal with a fine free-kick to put the Tynesiders ahead. But Wrexham were back on level terms before half-time when Sean Newton produced an equally fine set-piece. Ryan Bowman scored a fine winner for Gateshead, though, heading Craig Baxter's cross from the right across goal and into the net. Gateshead manager Malcolm Crosby told BBC Newcastle: ""To go and beat Wrexham tells me we have a decent side. ""We were disappointing in the first half but you have to give Wrexham credit because they played really well. ""In the first half, we didn't pass the ball well enough but in the second half, we did; that made the big difference. ""You come to watch football to see goals like our second one. It was a great bit of play, a wonderful cross and a great finish."" Wrexham manager Gary Mills told BBC Radio Wales Sport: ""It was disappointing. We've had two or three games now when the second half has not been as good as the first. ""We were too open at times in the second half... having said that we've had some good chances and we haven't stuck it in the back of the net. ""They've not had a load of chances: a good free-kick for the first one and then obviously a good headers for the second one."" Match ends, Gateshead 2, Wrexham 1. Second Half ends, Gateshead 2, Wrexham 1. Corner,  Wrexham. Attempt saved. Connor Jennings (Wrexham) left footed shot from a difficult angle on the left is saved. Foul by Joel Logan (Wrexham). James Marwood (Gateshead) wins a free kick. Foul by Jimmy Phillips (Gateshead). Adriano Moke (Wrexham) wins a free kick. Corner,  Gateshead. Offside, Wrexham. Connor Jennings tries a through ball, but Connor Jennings is caught offside. Attempt saved. Josh Gillies (Gateshead) right footed shot from outside the box is saved. Hand ball by Dominic Vose (Wrexham). Attempt missed. Manny Smith (Wrexham) header from the centre of the box misses to the left. Assisted by Dominic Vose. Corner,  Wrexham. Attempt missed. Connor Jennings (Wrexham) header from the right side of the box misses to the right. Assisted by Sean Newton with a cross. Foul by Josh Gillies (Gateshead). Dominic Vose (Wrexham) wins a free kick. Foul by Lee Fowler (Wrexham). Jimmy Phillips (Gateshead) wins a free kick. Foul by Connor Jennings (Wrexham). Matty Pattison (Gateshead) wins a free kick. Foul by James Marwood (Gateshead). Joel Logan (Wrexham) wins a free kick. Substitution, Wrexham. Joel Logan replaces Wes York. Attempt missed. Ben Clark (Gateshead) header from a difficult angle on the left misses to the left. Assisted by Josh Gillies. Corner,  Gateshead. Foul by James Marwood (Gateshead). Lee Fowler (Wrexham) wins a free kick. Corner,  Wrexham. Foul by Ryan Bowman (Gateshead). Jamal Fyfield (Wrexham) wins a free kick. Attempt missed. Connor Jennings (Wrexham) header from the centre of the box misses to the left. Assisted by Sean Newton with a cross. Substitution, Wrexham. Lee Fowler replaces Rob Evans. Foul by Sean Newton (Wrexham). Josh Gillies (Gateshead) wins a free kick. Attempt missed. Dominic Vose (Wrexham) right footed shot from outside the box misses to the right. Corner,  Wrexham. Attempt saved. Josh Gillies (Gateshead) left footed shot from outside the box is saved. Substitution, Wrexham. Adam Smith replaces James Gray. Goal!  Gateshead 2, Wrexham 1. Ryan Bowman (Gateshead) header from a difficult angle on the right to the bottom left corner. Assisted by Jamie Chandler with a cross."," In a match between Gateshead and Wrexham, Gateshead's Josh Gillies scored the first goal with a free-kick, putting them ahead. However, Wrexham equalized with a set-piece goal by Sean Newton. Gateshead's Ryan Bowman scored the winning goal with a header from a cross by Jamie Chandler, securing a 2-1 victory for Gateshead. The match saw both teams having chances, with Wrexham's Connor Jennings and Gateshead's Jimmy Phillips and Matty Pattison each winning free-kicks. The match ended with Gateshead's Ryan Bowman scoring the decisive goal.",microsoft/Phi-3-mini-4k-instruct,0.62652,0.54049,0.91852,0,1.0,1,0,1,0.2898,1,1,0,1
"He was seriously injured in a bomb attack in Afghanistan in 2006. Since carrying the torch on 26 June, Doncaster-based L/Bdr Parkinson has had thousands of requests on Facebook. But the site limits friend associations to 5,000 per personal page and he cannot accept all the requests. Flanked by hundreds of people, he walked for nearly half an hour with the Olympic torch with an assistant who supported his arm. L/Bdr Parkinson's nomination stated: ""The brain injury took his speech, but not his personality and sense of humour,"" adding he now speaks unaided. It said: ""Determined to prove everyone wrong, he fought back every step of the way. Ben's intelligence and wit [are] unchanged. Still the same funny and caring Ben."" He spends 12 hours a day in the gym and rehab and walks with crutches, spending ""the rest of his time spent raising money for many military charities and as patron of his beloved             Pilgrim Bandits "". L/Bdr Parkinson's mother Diane said the responses had ""been phenomenal"" and that Ben was really ""buoyed up"" by the support and friendship he had been shown. She said: ""It's just unbelievable, Ben's had way over 5,000 friend requests but Facebook won't let him have more than that number. ""Thousands of people have joined the Pilgrim Bandits website and the messages of support we've had are great. ""Ben's page has had 19,000 hits just on an update, I don't understand how these things work, but it's phenomenal."" She said the amount of post the family had received had also increased. She added: ""Some mail has just been addressed to Ben, please Mr Postie. ""E-mail traffic has gone through the roof and Ben's had hundreds of requests to visit places with the [Olympic] torch. ""He's absolutely bouncing and buoyed up and elated."" Facebook would not comment on the issue but their guidance was that if people were receiving this many requests then they have become a public figure, so should consider having a page instead of a profile. Alternatively, Ben could use subscribe so that people can see his public updates without actually becoming a friend. A total of 8,000 people will carry the flame during its 8,000 mile, 70-day journey to the opening ceremony of the Olympic Games in London on 27 July."," L/Bdr Parkinson, a Doncaster-based individual, was seriously injured in a 2006 bomb attack in Afghanistan. Despite his brain injury affecting his speech, he remains determined and funny. He carried the Olympic torch on June 26, 2012, and has since received thousands of friend requests on Facebook, but the site limits friend associations to 5,000 per personal page. Parkinson spends 12 hours a day in the gym and rehab, walks with crutches, and supports military charities and the Pilgrim Bandits. His mother, Diane, expressed gratitude for the overwhelming support and mentioned that Facebook suggested creating a page instead of a profile due to his status as a public figure. A total of 8,000 people will carry the flame during the 8,000-mile, 70-day journey to the opening ceremony of the Olympic Games in London on July 27, 2012.",microsoft/Phi-3-mini-4k-instruct,0.99464,0.43599,0.39752,1,1.0,1,1,1,0.63618,1,1,0,1
"Mukherjee's The Lives Of Others, a sweeping account of life in 1960s Calcutta, is 5/2 favourite to win with bookmakers William Hill. It is the first year that the prize is open to all authors writing in English, regardless of nationality. The winner will be announced at London's Guildhall on Tuesday night. Former Booker winner Howard Jacobson is among three British writers, two Americans and an Australian on this year's shortlist. Also on the list are Ali Smith, Joshua Ferris, Karen Joy Fowler and Richard Flanagan, who is next in the betting at 3/1. Jacobson, who won in 2010 for his comic novel The Finkler Question, is nominated for his futuristic love story J. It features two main characters who inhabit a world where the past is not spoken about and is shrouded in suspicion, referred to as ""What Happened, If It Happened"". Mukherjee's The Lives of Others begins in Calcutta in 1967, and which focuses on the secrets and rivalries within a family against a backdrop of political activism. Inverness-born Smith's How To Be Both tells two interlinking stories, one about a renaissance artist in 15th Century Italy, the other about a child of the 1960s - and the reader can decide which half to read first. She has been shortlisted twice before, with 2005's The Accidental and Hotel World in 2001. American Ferris's third novel, To Rise Again at a Decent Hour, looks at atheism through the eyes of a New York dentist, who is puzzled when someone sets up an online Facebook and Twitter account in his name. The other American is Fowler, who is nominated for We Are All Completely Beside Ourselves. The book, narrated by a college student Rosemary, tells the story of her  family: two parents and three children - one of whom turns out to be surprisingly special. Australia's Flanagan is the only non-British representative of the Commonwealth on the shortlist. He is nominated for The Narrow Road to the Deep North, a love story set against the construction of the Thailand-Burma Death Railway in World War Two. Of all the shortlisted novels, Fowler's We Are All Completely Beside Ourselves is by far the best-selling. Since it was published in March it has sold more than 55,000 copies, according to figures from Nielsen. The next closest is Ferris's To Rise Again at a Decent Hour with just over 6,000 sales since it was published at the end of May. The announcement of the final six on 9 September caused a sales spike for all the books on the shortlist.  Mukherjee's The Lives of Others, which sold 97 copies in the week before the announcement saw sales leap to 507 a week later. ""It's a weak list that is more notable for the novels it has omitted than for those that have made the cut,"" said David Brauner, professor of contemporary literature at the University of Reading. ""The strongest book on the list is Howard Jacobson's J, but I fear there may be some reluctance to make him a two-time winner so soon after Hilary Mantel's double win (with Wolf Hall and Bring Up the Bodies). ""John Sutherland's mischievous (or perhaps malicious) nomination of J at the top of his list of The Top 10 Unfinishable Novels in The Guardian last week won't have helped its chances either. ""It revives the perennial debate about whether the prize should be awarded on literary merit alone or whether it should only reward what Stella Rimington called 'readable' books."" This year marks is 46th year of the Booker Prize. The judging panel, chaired by AC Grayling, consists of Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven and Erica Wagner. Last year, the Booker was won by New Zealand's Eleanor Catton for The Luminaries. At 28, she was the youngest-ever winner. The shortlisted authors each receive £2,500 and a specially bound edition of their book. Coverage from this year's ceremony, where the prize will be presented by the Duchess of Cornwall. will be on the BBC News Channel from 2130 BST and on BBC Arts."," The Lives of Others by Mukherjee is the favorite to win the Booker Prize, with a 5/2 odds at William Hill. The prize is open to all English-writing authors, regardless of nationality. The winner will be announced at London's Guildhall on Tuesday night. The shortlist includes Howard Jacobson, Ali Smith, Joshua Ferris, Karen Joy Fowler, and Richard Flanagan. Mukherjee's novel, set in 1967 Calcutta, explores family secrets and political activism. It has seen a sales spike after being shortlisted. The Booker Prize, now in its 46th year, awards £2,500 and a specially bound edition of the winning book to the shortlisted authors.",microsoft/Phi-3-mini-4k-instruct,0.28182,0.90438,0.99077,1,1.0,1,1,1,0.94555,1,0,1,1
"Media playback is not supported on this device Benteke becomes the Reds' second most expensive signing, on what the club describe as a ""long-term contract"". Liverpool, who last week sold forward Raheem Sterling to Manchester City for £49m, triggered a release clause in Benteke's contract to make the 24-year-old their seventh summer signing. Belgium international Benteke scored 49 goals in 101 games for Villa after signing from Genk for £7m in 2012. He told the Liverpool website: ""I'm very happy to be here. I came here to win trophies. I came here to reach some great goals with the team. ""It was the right club for me because I had a good chat with the manager and I wanted to be part of his project."" Liverpool struggled for goals last season following the £75m sale of Luis Suarez to Barcelona and prolonged injury absences for England international Daniel Sturridge as they finished sixth in the Premier League. Signings Mario Balotelli and Rickie Lambert produced three league goals and, after acknowledging the lack of scoring last season, manager Brendan Rodgers has added Benteke to revive the Reds' attack. Liverpool have also signed forwards Danny Ings from Burnley and Brazil international Roberto Firmino from Hoffenheim, while Benteke's international team-mate Divock Origi has returned to the club after spending last season on loan at Lille. Benteke missed the 2014 World Cup in Brazil with an Achilles tendon injury but returned to action last October and scored 15 times to help Villa stay in the Premier League and reach the FA Cup final. Former Villa manager Paul Lambert, who brought Benteke into English football, believes he will do well at Anfield. Lambert told BBC Sport: ""He's a brilliant number nine. He won't need just crosses to come into the box. If he gets the service he'll get goals. ""That's the type of guy he is and on his game he's a handful. I'm delighted for him. He's earned that move and if he can do what I think he can do, he'll do great for them. ""He's going to have to handle the expectancy level of winning [at Liverpool]. When you speak to Christian, he has a great belief in himself to do well."" Former Liverpool striker John Aldridge is also excited to see Benteke lead the Liverpool forward line, telling BBC Radio 5 live: ""He gives something different, a massive presence up front. ""It's a fallacy when people say he doesn't play the Liverpool way. He knocked Liverpool out of the semi-final of the FA Cup when he played through the middle. ""He's very quick, very strong, very aggressive and that's something we haven't had for some time up front. It's something I'm really happy with and I think he'll bring a lot to the squad. ""I'm a lot more optimistic than I was this time last year. The strikers only scored eight goals last year, we can only do better than that going forward."" Find all the latest football transfers on our dedicated page."," Belgian international striker Christian Benteke, who scored 49 goals in 101 games for Aston Villa, has signed a long-term contract with Liverpool, becoming their seventh summer signing. Benteke, who joined Villa in 2012 for £7m, previously played for Manchester City before being sold to Liverpool. The Reds, who finished sixth in the Premier League last season, have struggled to score goals following the sale of Luis Suarez and Daniel Sturridge's injuries. Benteke's arrival, along with the signings of Danny Ings and Roberto Firmino, aims to revive Liverpool's attack. Former manager Paul Lambert and former Liverpool striker John Aldridge are optimistic about Benteke's impact on the team.",microsoft/Phi-3-mini-4k-instruct,0.87018,0.53853,0.2837,0,0.0,0,0,0,0.85637,0,1,0,0
"Centre-back Anderson, 27, has cancelled his Barrow contract by mutual consent to join their National League rivals. The ex-Aldershot and Exeter player, who has also played in Italy, could feature against his old club on 18 February. Striker Keating, 21, was recommended to Gulls boss Kevin Nicholson by ex-Port Vale manager Micky Adams. He has previously had spells with Sligo Rovers, Galway United and Finn Harps, with his move subject to international clearance. ""Myles hasn't played a huge amount of games for a 27-year-old, but he is the stature, the voice, and is the leader-type I've been after."" Nicholson told BBC Radio Devon. ""Ruairi is young, a little bit raw, but incredibly hungry to show what he's about."" The Gulls are currently four points above the relegation zone, and have won only one of their last six games. Find all the latest football transfers on our dedicated page."," Centre-back Anderson, 27, has left Barrow by mutual consent to join National League rivals, potentially playing against his former club on 18 February. Striker Keating, 21, recommended by Micky Adams, has played for Sligo Rovers, Galway United, and Finn Harps, pending international clearance. Gulls manager Kevin Nicholson praises Keating's stature, leadership qualities, and hunger to prove himself, as the team currently sits four points above the relegation zone with only one win in their last six games.",microsoft/Phi-3-mini-4k-instruct,0.999,0.96981,0.98876,1,1.0,1,1,0,0.89861,1,1,0,1
"The Scots have won all five qualifiers to date and host Iceland at Falkirk Stadium on Friday knowing victory would all but secure their place. But Evans is desperate not to miss out again after play-off losses for Euro 2013 and last year's  World Cup. ""Now that we're in this position, it would be devastating,"" she said. ""We've been so close and fallen at the last hurdle twice now trying to get to major competitions. ""It would be more heartbreak than humiliation."" Iceland, ranked one place above the Scots at number 20 in the world, are also unbeaten after four wins from four, with the outcome of Friday's contest and the return fixture in Reykjavik on 20 September likely to decide who tops the group. ""Obviously reaching the finals is everyone's aim,"" said 24-year-old Bayern Munich forward Evans. ""It's been my aim since I got into the squad, and [veteran goalkeeper] Gemma Fay has been aiming for it for 15 years. ""I think it's going to be emotional if we do get there, although we're taking it step by step, trying not to think too far ahead."" With the best six of the eight group runners-up also qualifying automatically, Scotland are in pole position to reach next summer's finals in the Netherlands without the need for a play-off. ""Iceland are top seeds in the group,"" Evans noted. ""They're a really good side and we've always had tough games against them. ""But we know we've got a really good chance to beat them. ""It would be fantastic to have a big crowd at Falkirk. Having the fans behind us makes a huge difference."" Evans is one of 12 players in the current 20-strong squad who play outside Scotland, with five at English clubs, four in Sweden and two at Seattle Reign in the United States National Women's Soccer League, including newly-crowned BBC Women's Footballer of the Year Kim Little. Perth-born Evans recently celebrated winning the women's Bundesliga in her first season at Bayern, rubbing shoulders with the likes of Franck Ribery and Arjen Robben as they joined the victorious men's squad for a rapturous reception on the balcony at Munich's New Town Hall. ""It was mind-blowing, completely mind-blowing,"" she recalled. ""There were thousands of people cheering when we came out. ""We had a party with the men's team on the Saturday night, having been in their stadium on the Saturday just to get congratulated. ""I actually walked out with Franck Ribery at the Town Hall, but, in the photos, Arjen Robben is in the background. I don't know them very well, but they were all really chatty, really good with us."" Evans, who won four Scottish Women's Premier League titles and six domestic cups with Glasgow City before moving to Germany with Turbine Potsdam, believes the benefits of having more players in the world's top leagues benefits the national team as they close in on a first major finals. ""Germany has been at the top of women's football for a long time now - it has really developed over there,"" she added. ""The league is good, arguably one of the best in the world for competitiveness, and we have a hard game every week. ""Even within the Bayern set-up, there is such good competition. Just being able to train with those players every day makes you better. I'm really privileged. ""The league in Scotland is improving, but the girls playing abroad bring something different. ""It is a different culture, a new way of playing, and that adds to the national team."""," The Scots have won all five qualifiers and are set to host Iceland at Falkirk Stadium, with victory likely securing their place in the next summer's Euro 2013 finals. However, Scotland's goalkeeper, Evans, is determined not to miss out again after previous play-off losses. Iceland, ranked number 20 in the world, is unbeaten with four wins from four, and the outcome of the upcoming match and the return fixture will determine the group leader. With the best six of the eight group runners-up also qualifying automatically, Scotland is in pole position to reach the finals without a play-off. Evans, a 24-year-old Bayern Munich forward, is one of 12 players in the current 20-strong squad who play outside Scotland, and she believes the benefits of having more players in the world's top leagues, such as Germany, will help the national team.",microsoft/Phi-3-mini-4k-instruct,0.27415,0.80034,0.83939,0,1.0,1,0,0,0.96438,0,0,0,1
"Media playback is not supported on this device The visitors led briefly through Vasil Lobzhanidze's early try, but the Scots raced ahead through Tommy Seymour, a penalty try, Sean Maitland and Stuart Hogg before the break. Hamish Watson extended the lead, battling over soon after half-time. Lobzhanidze bagged a second from a huge Georgian scrum, before Hogg finished off a searing counter-attack. Before the Scottish points deluge, it was the Georgians who opened the scoring. It was a soft one, with Lobzhanidze, the visitors' scrum-half, darting down the blind-side of a scrum where Seymour should have halted him, but didn't. The wing made amends soon after when Hogg dinked a kick behind the Georgian defence for Seymour to run on to. In the foot-race, Seymour beat Lobzhanidze to the touch-down. It was questionable that Seymour got downward pressure on the ball, but the try was given and Scotland went ahead when Laidlaw swept over the conversion from the touchline. The floodgates began to open. Scotland owned possession and territory and got their reward when a rolling maul, destined for the try-line, was hauled to the floor by the Georgian lock, Kote Mikautadze. Scotland got a penalty try, converted by Laidlaw, and Mikautadze got the sin-bin. Merab Kvirikashvili landed a penalty but Scotland motored on regardless. Maitland scored after multiple Scotland phases and Laidlaw added the conversion and a penalty just after. There were 30 minutes gone and Scotland had 91% possession. Media playback is not supported on this device Georgia, living off scraps, put over another penalty to make it 24-11 but Hogg's try stretched the lead again. There was ambition and luck at its heart. There was nothing on for the full-back, so he chanced his arm, dinked a kick over the top and chased like hell. The breaking ball took a vicious bounce away from the covering Alexandre Todua and landed kindly in the onrushing Hogg's hands. Away he went for Scotland's fourth try, once again converted from out wide by Laidlaw. The fifth came early in the second half, Watson coming round the corner of a scrum and blasting his way over. The conversion made it 38-11. It was the belated catalyst for Georgia to get some ball of their own. They scored their second try when shoving Scotland to kingdom come in the scrum. They shunted their hosts over their own line and the dot down for Lobzhanidze was a formality. Georgia's scrum continued to cause a newly disjointed and error-prone Scotland problems. Moray Low was yellow-carded in the midst of this for another buckled scrum. The hosts had a rousing finish, though. Ali Price was only three minutes into his debut when he tapped a penalty and went from deep in his own half. Rory Hughes, another substitute, was on Price's shoulder and he in turn found Hogg who ran in his second and Scotland's sixth. Scotland head coach Vern Cotter: ""It was a good first half. We scored three pretty quick tries, and we held the ball so they couldn't access the game as they would have liked. We kept the ball down the other end, and when they gave it back to us, we managed to counter-attack and get points. ""In the second half, the game seemed to open up a little, it was a wet ball and it was cold out there, so the transmissions weren't as neat and quick as we'd like. And they were very good over the ball. ""But I thought we did things pragmatically, kept them out of it and scored points when we had to. ""I think there's been a good shift in the way we approach these games and manage them, and Greig (Laidlaw)'s done a great job in that with his guys around him. And we just keep improving."" Scotland: 15-Stuart Hogg, 14-Sean Maitland, 13-Mark Bennett, 12-Alex Dunbar, 11-Tommy Seymour, 10-Finn Russell, 9-Greig Laidlaw (capt); 1-Allan Dell, 2-Ross Ford, 3-Zander Fagerson, 4-Richie Gray, 5-Jonny Gray, 6-Rob Harley, 7-Hamish Watson, 8-Ryan Wilson. Replacements: 16-Fraser Brown, 17-Alex Allan, 18-Moray Low, 19-Grant Gilchrist, 20-John Barclay, 21-Ali Price, 22-Pete Horne, 23-Rory Hughes. Georgia: 15-Merab Kvirikashvili, 14-Giorgi Aptsiauri, 13-Merab Sharikadze, 12-Tamaz Mchedlidze, 11-Sandro Todua, 10-Lasha Malaguradze, 9-Vasil Lobzhanidze; 1-Mikheil Nariashvili, 2-Jaba Bregvadze, 3-Levan Chilachava, 4-Kote Mikautadze, 5-Giorgi Nemsadze, 6-Vito Kolelishvili, 7-Mamuka Gorgodze (capt), 8-Beka Bitsadze. Replacements: 16-Badri Alkhazashvili, 17-Kakha Asieshvili, 18-Dudu Kubriashvili, 19-Lasha Lomidze, 20-Giorgi Tkhilaishvili, 21-Giorgi Begadze, 22-Beka Tsiklauri, 23-Shalva Sutiashvili"," Scotland and Georgia played a rugby match where Scotland scored four tries, with Stuart Hogg scoring three, and Georgia scored two tries. Scotland's first try came from a counter-attack, while their second was a rolling maul. Georgia's first try came from a penalty, and their second was a result of a scrum. Scotland's coach, Vern Cotter, praised their pragmatic approach and counter-attacking strategy. The final score was Scotland 38-11, with Scotland's Ali Price making his debut.",microsoft/Phi-3-mini-4k-instruct,0.41505,0.18958,0.64681,0,1.0,1,0,0,0.75358,0,0,0,0
"Tries from Macgraff Leuluai, Ah Van and Chris Bridge gave Widnes a 14-6 half-time lead, with Cas loanee Paddy Flynn responding against his parent club. Flynn scored another early in the second, but Ah Van, Lloyd White (2) and Joe Mellor tries made it 38-12. Despite three Cas tries in four minutes - Larne Patrick, Luke Gale and Flynn's hat-trick score - Widnes held on. The Vikings' victory had looked assured when Mellor took advantage of Castleford indecision on a short kick-off, running straight through to help them to a 26-point lead. But, having lost nine of their previous 10 matches, their defence creaked as they let Patrick, who has just signed a three-year deal to move from Huddersfield after his loan spell, in for a try. Gale and Flynn - on loan at Castleford from the Vikings until the end of the season - made it a nervy finish, but the Tigers suffered their fourth consecutive home league defeat. Widnes moved above Wakefield into seventh, while Castleford remain in sixth, one point above the Vikings. Castleford: Solomona, Monaghan, Crooks, Webster, Flynn, McShane, Gale, Jewitt, Milner, Patrick, Moors, McMeeken, Massey. Replacements: Millington, Springer, Tickle, Cook. Widnes: Hanbury, Thompson, Runciman, Bridge, Ah Van, Mellor,Brown, Cahill, White, Buchanan, Whitley, Dean, Leuluai. Replacements: J. Chapelhow, Manuokafoa, Walker, Heremaia. Referee: J Smith"," Widnes and Castleford played a match where Widnes won 38-12. Tries from Macgraff Leuluai, Ah Van, and Chris Bridge gave Widnes a 14-6 half-time lead. Paddy Flynn scored another early in the second half, but Widnes maintained their lead with additional tries from Lloyd White, Joe Mellor, and Chris Bridge. Despite three tries from Cas players Larne Patrick, Luke Gale, and Flynn's hat-trick, Widnes held on. Castleford initially had a 26-point lead but eventually lost due to defensive lapses. Widnes moved above Wakefield into seventh, while Castleford remained in sixth. The match was officiated by referee J Smith.",microsoft/Phi-3-mini-4k-instruct,0.54969,0.90501,0.9048,0,1.0,1,0,0,0.89563,1,1,1,0
"Clarkson, 30, joined Premiership Well for a second spell in July and could make his St Mirren debut in the Championship against Alloa on Saturday.He scored nine goals at Dundee last season and has featured mainly as a substitute so far this term.""I'm ready, I've been fit all season and I'm as fit as I've ever been,"" Clarkson told the St Mirren website.""I've been playing games, playing for the U20s and I like to keep my match fitness up.""I've been training hard and making sure that when my time came, wherever it may be, that I was ready and match fit and hopefully up to speed with everyone else really. I'm looking forward to getting started.""Capped twice for Scotland in 2008 and with one international goal to his name, Clarkson has made almost 400 senior appearances at club level.His previous teams include Bristol City, Brentford and Bristol Rovers.St Mirren are eighth in the Championship, seven points clear of bottom side Alloa.""Obviously the game on Saturday, every game is a big game, and the more games we can win the more confidence we can get from that we can hopefully go on a run of games and push up the table and try to get the club back to where it has been,"" added Clarkson.For all the latest transfers check out our transfer deals page."," Clarkson, 30, is set to make his St Mirren debut in the Championship against Alloa on Saturday after joining Premiership Well for a second spell in July. He scored nine goals at Dundee last season and has been fit and training hard. With two caps for Scotland in 2008 and one international goal, Clarkson has made nearly 400 senior appearances. He previously played for Bristol City, Brentford, and Bristol Rovers. St Mirren, currently eighth in the Championship, aims to win more games and climb the table.

Note: The summary provided covers the core pieces of information from the passage, including Clarkson's background, his current team, his previous teams, and St Mirren's position in the Championship.",microsoft/Phi-3-mini-4k-instruct,0.99726,0.97107,0.98779,1,1.0,1,1,1,0.90108,1,1,1,1
"Former Dons midfielder Sheerin, 39, has been player-manager at the Red Lichties since 2010 and replaces Neil Cooper at Pittodrie.Arbroath were relegated to Scottish League Two after finishing season 2013-14 bottom of League One.Aberdeen chief executive Duncan Fraser said boss Derek McInnes chose Sheerin after ""a comprehensive process"".Speaking on the club's website, Fraser added: ""Despite wishing to retain Paul's services, Arbroath chairman John Christison was good to deal with and completely appreciated Paul's desire to come back to Aberdeen.""Sheerin played for several Scottish clubs and also featured for Östersunds in Sweden before moving into coaching. He won a Scotland Under-21 cap in in the mid-1990s.Sheerin guided the Arbroath to their first national trophy in their history by winning the Scottish Third Division title and promotion in 2011."," Former Dons midfielder Sheerin, 39, has been player-manager at the Red Lichties since 2010, replacing Neil Cooper at Pittodrie. After Arbroath's relegation to Scottish League Two in 2013-14, Aberdeen chief executive Duncan Fraser stated that Derek McInnes chose Sheerin following a comprehensive process. Sheerin, who played for several Scottish clubs and Östersunds in Sweden, won a Scotland Under-21 cap in the mid-1990s. As player-manager, he led Arbroath to their first national trophy by winning the Scottish Third Division title and promotion in 2011.",microsoft/Phi-3-mini-4k-instruct,0.99836,0.95634,0.99349,1,1.0,1,1,1,0.84557,1,1,1,1
"The Briton finished more than two minutes ahead of Poland's Anna Harkowska in Nottwil, Switzerland.Storey can win a 17th title when she rides in Saturday's road race.""It's a massive relief to win,"" said the 37-year-old, who is targeting further Paralympic success at next year's Games in Rio de Janeiro.Storey is Britain's most decorated female Paralympian with 22 medals.She has won 11 gold, eight silver and three bronze medals in both cycling and swimming across six Paralympics.She won four golds at the 2012 Games in London and has now won 21 world titles across both sports.Storey began her sporting career in the pool, winning six medals at the 1992 Paralympics before switching to cycling in 2005."," Storey, a 37-year-old Briton, won a race in Nottwil, Switzerland, finishing more than two minutes ahead of Anna Harkowska of Poland. She is aiming for a 17th title in the upcoming road race and is targeting further Paralympic success at the 2016 Games in Rio de Janeiro. Storey is Britain's most decorated female Paralympian, with 22 medals, including 11 gold, eight silver, and three bronze in cycling and swimming across six Paralympics. She won four golds at the 2012 Games in London and has 21 world titles in both sports. Storey started her sporting career in swimming, winning six medals at the 1992 Paralympics, before switching to cycling in 2005.",microsoft/Phi-3-mini-4k-instruct,0.79338,0.10689,0.29204,1,1.0,1,1,1,0.53423,1,0,0,1
